Agency,boro_cd,Days to Close
DOB,101,36.09486321590238
DOB,102,36.160442600276625
DOB,103,36.38487898907689
DOB,104,30.707907642010625
DOB,105,32.595370172818434
DOB,106,29.030080213903744
DOB,107,26.75382984873302
DOB,108,33.29996743024645
DOB,109,29.03157894736842
DOB,110,26.766216062705897
DOB,111,33.90424766018719
DOB,112,31.97349570200573
DOB,164,12.571428571428571
DOB,201,37.72878141299194
DOB,202,37.864381520119224
DOB,203,34.75408599446819
DOB,204,31.02413526071244
DOB,205,32.63161649308032
DOB,206,40.0987741631306
DOB,207,34.775198533903485
DOB,208,34.18881278538813
DOB,209,44.03643284393692
DOB,210,56.45271317829457
DOB,211,46.82802197802198
DOB,212,52.9539872762243
DOB,226,13.2
DOB,227,42.0
DOB,228,8.88888888888889
DOB,301,45.966481541979746
DOB,302,34.67137555369328
DOB,303,47.924390799362335
DOB,304,55.19862789937929
DOB,305,50.4272534366639
DOB,306,38.97200432783338
DOB,307,58.531599479843955
DOB,308,41.47346103231467
DOB,309,34.28759858580364
DOB,310,52.60360809329214
DOB,311,59.19962763756723
DOB,312,63.589212857000696
DOB,313,48.297069526910555
DOB,314,42.80740027804513
DOB,315,50.55816806379064
DOB,316,51.9501637810014
DOB,317,42.85552925989673
DOB,318,59.589787345760044
DOB,355,38.13636363636363
DOB,356,10.2
DOB,401,60.318366556996324
DOB,402,56.674418604651166
DOB,403,63.35077890133916
DOB,404,64.14885084066019
DOB,405,58.268946306790895
DOB,406,42.29093537063803
DOB,407,62.895725349106655
DOB,408,56.485916398713826
DOB,409,70.46258087078161
DOB,410,74.8643636662017
DOB,411,64.729587125709
DOB,412,62.810017161380536
DOB,413,67.5082080015728
DOB,414,51.42227577896368
DOB,480,1.3333333333333333
DOB,481,23.4375
DOB,482,1.0
DOB,483,427.6
DOB,484,16.142857142857142
DOB,501,54.500824402308325
DOB,502,45.77008190832016
DOB,503,45.05348294957738
DOB,595,5.0
